                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92255,                 4.6033,                 1.1315,                0.62979,                    0.1,                0.10329,                0.06937,                 1.6387,                 5.6296,                 1.6599,             0.00036446,             0.00036446,             0.00036446
                      2,                0.93826,                 3.9549,                 1.1393,                0.10684,                0.13333,                0.05157,                0.02581,                 2.0131,                 5.0482,                 1.7824,             0.00072024,             0.00072024,             0.00072024
                      3,                 1.0237,                  3.497,                 1.1795,                0.79644,                0.13333,                 0.0645,                0.03369,                  2.016,                 5.8691,                   2.08,              0.0010614,              0.0010614,              0.0010614
                      4,                 1.0523,                 2.8993,                 1.2178,                 0.4508,                0.08889,                0.06712,                0.03997,                 1.9658,                 4.3232,                 2.0346,               0.001045,               0.001045,               0.001045
                      5,                 1.0459,                 2.8338,                 1.1846,                0.81798,                0.11111,                0.09473,                0.05947,                 2.0423,                 3.7924,                 1.9526,               0.001045,               0.001045,               0.001045
                      6,                 1.0245,                 2.4326,                 1.1492,                0.62746,                0.18435,                0.14296,                0.09371,                 2.0172,                 3.8093,                 1.9933,               0.001023,               0.001023,               0.001023
                      7,                0.94967,                 2.1833,                 1.1305,                0.84769,                0.13333,                0.16265,                0.12541,                 1.8338,                 3.9562,                 1.7107,               0.001001,               0.001001,               0.001001
                      8,                 0.8939,                 1.8581,                 1.0979,                0.58991,                0.18889,                0.15391,                0.10737,                 1.9262,                 3.3657,                 1.9133,             0.00097901,             0.00097901,             0.00097901
                      9,                0.87863,                 1.8881,                  1.101,                0.45786,                0.13333,                0.09477,                0.05088,                 1.9141,                 4.2867,                 1.8565,             0.00095702,             0.00095702,             0.00095702
                     10,                0.90816,                 1.8635,                  1.123,                0.79922,                0.13333,                0.12585,                0.07689,                 2.0449,                 3.5991,                 1.9968,             0.00093502,             0.00093502,             0.00093502
                     11,                0.85569,                 1.8063,                 1.0855,                 0.4696,                0.13333,                0.14946,                0.05658,                 2.0702,                 3.2671,                 1.9957,             0.00091302,             0.00091302,             0.00091302
